time	outflow	compound	condition	study	time_shift	time_exp
21.2400593178768	0.13485166	galactose	A	gor1973	-5.80827268212318	27.048332
22.3289073178768	0.11260135	galactose	A	gor1973	-5.80827268212318	28.13718
1.50948384909627	0.097264044	RBC	B	gor1973	-4.95165865090373	6.4611425
2.64221484909627	11.714277	RBC	B	gor1973	-4.95165865090373	7.5938735
3.90066234909627	13.545017	RBC	B	gor1973	-4.95165865090373	8.852321
5.09753734909627	9.80027	RBC	B	gor1973	-4.95165865090373	10.049196
6.29716934909627	6.4039626	RBC	B	gor1973	-4.95165865090373	11.248828
7.49845634909627	3.9365053	RBC	B	gor1973	-4.95165865090373	12.450115
8.77399634909627	2.4201295	RBC	B	gor1973	-4.95165865090373	13.725655
9.97307734909627	1.6139828	RBC	B	gor1973	-4.95165865090373	14.924736
11.0231003490963	1.0981895	RBC	B	gor1973	-4.95165865090373	15.974759
12.2205273490963	0.77854955	RBC	B	gor1973	-4.95165865090373	17.172186
13.4900013490963	0.5989067	RBC	B	gor1973	-4.95165865090373	18.44166
14.6819153490963	0.5205515	RBC	B	gor1973	-4.95165865090373	19.633574
15.7957153490963	0.5217343	RBC	B	gor1973	-4.95165865090373	20.747374
16.9826653490963	0.5447534	RBC	B	gor1973	-4.95165865090373	21.934324
2.02925734909627	0.09736712	sucrose	B	gor1973	-4.95165865090373	6.980916
2.77601774909627	1.2972659	sucrose	B	gor1973	-4.95165865090373	7.7276764
3.86004334909627	3.9074266	sucrose	B	gor1973	-4.95165865090373	8.811702
5.03431184909627	6.5190034	sucrose	B	gor1973	-4.95165865090373	9.9859705
6.29110484909627	8.012978	sucrose	B	gor1973	-4.95165865090373	11.2427635
7.48026034909627	7.711631	sucrose	B	gor1973	-4.95165865090373	12.431919
8.67327634909627	6.4350457	sucrose	B	gor1973	-4.95165865090373	13.624935
9.94219934909627	5.0521255	sucrose	B	gor1973	-4.95165865090373	14.893858
10.9878113490963	4.046215	sucrose	B	gor1973	-4.95165865090373	15.93947
12.2578373490963	3.0498068	sucrose	B	gor1973	-4.95165865090373	17.209496
13.5289663490963	2.2069707	sucrose	B	gor1973	-4.95165865090373	18.480625
14.6499343490963	1.6972195	sucrose	B	gor1973	-4.95165865090373	19.601593
15.9188573490963	1.3324794	sucrose	B	gor1973	-4.95165865090373	20.870516
17.0381713490963	1.0893078	sucrose	B	gor1973	-4.95165865090373	21.98983
18.2322903490963	0.8726838	sucrose	B	gor1973	-4.95165865090373	23.183949
19.4995593490963	0.7283297	sucrose	B	gor1973	-4.95165865090373	24.451218
20.6920233490963	0.62027323	sucrose	B	gor1973	-4.95165865090373	25.643682
21.7326733490963	0.59676576	sucrose	B	gor1973	-4.95165865090373	26.684332
2.25146584909627	0.09941663	galactose	B	gor1973	-4.95165865090373	7.2031245
2.80193284909627	0.49785146	galactose	B	gor1973	-4.95165865090373	7.7535915
3.96903334909627	1.0825162	galactose	B	gor1973	-4.95165865090373	8.920692
5.14605934909627	1.6310865	galactose	B	gor1973	-4.95165865090373	10.097718
6.32749634909627	2.0879645	galactose	B	gor1973	-4.95165865090373	11.279155
7.51389434909627	2.2249653	galactose	B	gor1973	-4.95165865090373	12.465553
