y_cell,y_sin,L,y_dis,flow_sin,sim
2.93730182934254e-06,4.38665398581081e-06,0.000470355239004683,5.75841923082378e-07,8.84575174871649e-05,76
2.75855230888288e-06,4.14699110525665e-06,0.000497415121534819,8.15032544289459e-07,9.70430264312359e-05,2
1.84780774457186e-06,4.59447956574062e-06,0.00057673119308095,9.59305417099197e-07,4.10865138503468e-05,9
2.15869682962359e-06,4.90044885204125e-06,0.000463722936275775,8.58926182681737e-07,6.28061863258198e-05,11
3.84251268718227e-06,3.92066510368274e-06,0.000550764660575614,8.73456719317787e-07,8.10221492828794e-05,12
2.06053599307574e-06,4.64297237376227e-06,0.000419639578379616,7.66882351249533e-07,2.05095475698355e-05,16
1.41393577473557e-05,5.09068492667667e-06,0.000499480099273138,4.807347817242e-07,2.47144973151676e-05,17
1.14557456377972e-05,3.57107982591048e-06,0.000420673193883372,3.56450661317011e-07,2.55976450058876e-05,18
1.02116007956102e-05,4.32303331065966e-06,0.000537679459865394,8.07469486599188e-07,0.000158969538389651,19
4.23284703138219e-06,4.6120403348784e-06,0.000520495731184239,1.05382178815637e-06,9.8918260006561e-05,23
5.20910710616454e-06,4.85980602575565e-06,0.000534200244326383,8.98374869592013e-07,5.89007363872253e-05,27
1.59936346375643e-06,5.10797455290341e-06,0.000456754938957386,1.97673249004806e-06,8.00581252609921e-05,32
2.00803485724308e-06,4.5765496869964e-06,0.000449223806573987,8.10248319390564e-07,3.10781868122207e-05,98
4.26955382689488e-06,4.20733799641482e-06,0.000479514811460772,6.94132763472394e-07,3.81989057619069e-05,99
2.65863630080068e-07,4.58691412709548e-06,0.000534760013341598,9.44262746965337e-07,2.91753736788345e-05,100
1.48809933641189e-05,4.16726602393399e-06,0.000513758133179357,4.84653706505803e-07,5.28803070592183e-05,34
4.95858999283864e-06,4.3648919452954e-06,0.000519602037406926,1.0296823345021e-06,6.00461674230481e-05,36
4.5714852459554e-06,4.95498748585838e-06,0.000475515133974881,1.21791482205053e-06,1.60824694256669e-05,41
6.54281397621271e-06,4.60415123386732e-06,0.000472300480580661,1.30775859292248e-06,1.01303845865615e-05,42
5.61030259758293e-07,4.02174273846653e-06,0.00049536167907212,5.61390087725478e-07,7.08608997805935e-05,43
1.72608520839099e-05,3.54488689270174e-06,0.000482411845339134,5.84755835736873e-07,0.000137269756617864,44
2.67754806720884e-06,4.97437454775693e-06,0.000580056702193,5.2524048451159e-07,8.70981913881578e-05,1
2.61634328495962e-05,4.28888684056154e-06,0.000435155253213369,1.27208168749346e-06,4.39480706235297e-05,5
1.87790986582454e-06,4.23428939597275e-06,0.000477170102486938,7.45774424180605e-07,3.25570684678536e-05,3
3.06482292091643e-06,5.22219432561443e-06,0.000545086960410749,1.06169343239962e-06,2.5110258035084e-05,7
2.64091333509412e-06,4.12668550398306e-06,0.000468374793533521,7.22805756532668e-07,4.19863641652594e-06,8
1.5610282090245e-06,5.45701468276084e-06,0.000483124961447713,5.727777506472e-07,3.05726316772492e-05,6
1.76809513448302e-05,4.53228209027171e-06,0.000520765869923271,1.28770213184972e-06,4.96432591951479e-05,10
2.32609115713821e-06,4.78432014869105e-06,0.000450955462611059,7.23038178476882e-07,5.2346757481483e-05,13
3.09586177822612e-06,4.65033579883429e-06,0.000470817625503064,8.68233735003546e-07,2.36549052881358e-05,14
2.33641920263732e-06,3.77882371594763e-06,0.00050336860345053,1.23999938445994e-06,8.79412175328458e-05,21
1.60142420180046e-06,4.76117916000268e-06,0.000439240821534548,8.61835087992811e-07,5.91325010652651e-05,20
6.8919167481913e-06,2.90233912742557e-06,0.000391442464867444,7.47740779845886e-07,2.7519696001302e-05,24
9.48775141432919e-06,3.821982428062e-06,0.000536060275837935,4.62478744493863e-07,5.28366555810989e-05,25
1.33256523334018e-05,5.00463676228907e-06,0.000421841471882429,5.04591193216672e-07,2.76510829894583e-05,29
2.44071606951392e-06,4.34758069979066e-06,0.000556570404204721,7.38043176588223e-07,1.43661518799203e-05,30
1.29481509987704e-06,3.86004256306513e-06,0.000505614741736681,1.2284559373416e-06,6.00719636144914e-05,31
7.33703545351963e-06,4.32183714334693e-06,0.000488660296447636,8.25548506199661e-07,3.61832651290348e-05,33
2.69594300955052e-06,5.00077200650164e-06,0.000476066932335022,6.38398080870713e-07,3.77653219056883e-05,50
8.59531368807752e-06,4.06435562575346e-06,0.000495848045273684,1.17804407882505e-06,2.78288473115132e-05,51
9.19783504278804e-07,4.09190006747823e-06,0.000488762791693031,5.16087914059814e-07,2.14627749412858e-05,52
3.37883103432175e-06,4.18371663450449e-06,0.000530592939825515,7.13360451416564e-07,5.39600700310084e-06,54
