time, S001__rbcM, S001__suc, S001__alb, S001__gal, S001__galM, S001__h2oM, D001__rbcM, D001__suc, D001__alb, D001__gal, D001__galM, D001__h2oM, S002__rbcM, S002__suc, S002__alb, S002__gal, S002__galM, S002__h2oM, D002__rbcM, D002__suc, D002__alb, D002__gal, D002__galM, D002__h2oM, S003__rbcM, S003__suc, S003__alb, S003__gal, S003__galM, S003__h2oM, D003__rbcM, D003__suc, D003__alb, D003__gal, D003__galM, D003__h2oM, S004__rbcM, S004__suc, S004__alb, S004__gal, S004__galM, S004__h2oM, D004__rbcM, D004__suc, D004__alb, D004__gal, D004__galM, D004__h2oM, S005__rbcM, S005__suc, S005__alb, S005__gal, S005__galM, S005__h2oM, D005__rbcM, D005__suc, D005__alb, D005__gal, D005__galM, D005__h2oM, PV__rbcM, PV__suc, PV__alb, PV__gal, PV__galM, PV__h2oM, H01__gal, H01__galM, H01__h2oM, H01__glc1p, H01__glc6p, H01__gal1p, H01__udpglc, H01__udpgal, H01__galtol, H01__atp, H01__adp, H01__utp, H01__udp, H01__phos, H01__ppi, H01__nadp, H01__nadph
10, 0, 0, 0, 0.000214867, 0, 0, 0, 0, 0, 0.000215136, 0, 0, 0, 0, 0, 0.00021515, 0, 0, 0, 0, 0, 0.000215152, 0, 0, 0, 0, 0, 0.00021515, 0, 0, 0, 0, 0, 0.000215152, 0, 0, 0, 0, 0, 0.00021515, 0, 0, 0, 0, 0, 0.000215152, 0, 0, 0, 0, 0, 0.00021515, 0, 0, 0, 0, 0, 0.000215152, 0, 0, 0, 0, 0, 0.000214741, 0, 0, 0.000215152, 0, 0, 0.0119881, 0.119922, 0.00195213, 0.334948, 0.106686, 0.000862957, 2.87413, 1.02587, 0.271466, 0.0969005, 4.8308, 0.00437089, 0.099863, 0.100137
10.5, 0, 0, 0, 0.000215048, 0, 0, 0, 0, 0, 0.000215318, 0, 0, 0, 0, 0, 0.000215331, 0, 0, 0, 0, 0, 0.000215333, 0, 0, 0, 0, 0, 0.000215332, 0, 0, 0, 0, 0, 0.000215333, 0, 0, 0, 0, 0, 0.000215332, 0, 0, 0, 0, 0, 0.000215333, 0, 0, 0, 0, 0, 0.000215332, 0, 0, 0, 0, 0, 0.000215333, 0, 0, 0, 0, 0, 0.000214879, 0, 0, 0.000215333, 0, 0, 0.0119882, 0.119922, 0.00198768, 0.334812, 0.106592, 0.000863671, 2.8741, 1.0259, 0.271633, 0.0969636, 4.83062, 0.00437538, 0.0998637, 0.100136
11, 0, 0, 0, 0.000215254, 0, 0, 0, 0, 0, 0.000215524, 0, 0, 0, 0, 0, 0.000215537, 0, 0, 0, 0, 0, 0.00021554, 0, 0, 0, 0, 0, 0.000215538, 0, 0, 0, 0, 0, 0.00021554, 0, 0, 0, 0, 0, 0.000215538, 0, 0, 0, 0, 0, 0.00021554, 0, 0, 0, 0, 0, 0.000215538, 0, 0, 0, 0, 0, 0.00021554, 0, 0, 0, 0, 0, 0.000215032, 0, 0, 0.00021554, 0, 0, 0.0119883, 0.119923, 0.00202234, 0.334672, 0.106502, 0.000864484, 2.87407, 1.02593, 0.271799, 0.0970266, 4.83044, 0.00437991, 0.0998645, 0.100135
11.5, 0, 0, 0, 0.000215484, 0, 0, 0, 0, 0, 0.000215755, 0, 0, 0, 0, 0, 0.000215768, 0, 0, 0, 0, 0, 0.000215771, 0, 0, 0, 0, 0, 0.000215769, 0, 0, 0, 0, 0, 0.000215771, 0, 0, 0, 0, 0, 0.000215769, 0, 0, 0, 0, 0, 0.000215771, 0, 0, 0, 0, 0, 0.000215769, 0, 0, 0, 0, 0, 0.000215771, 0, 0, 0, 0, 0, 0.000215203, 0, 0, 0.000215771, 0, 0, 0.0119883, 0.119923, 0.00205613, 0.33453, 0.106416, 0.000865393, 2.87404, 1.02596, 0.271965, 0.0970896, 4.83026, 0.00438448, 0.0998655, 0.100135
12, 0, 0, 0, 0.000215738, 0, 0, 0, 0, 0, 0.00021601, 0, 0, 0, 0, 0, 0.000216022, 0, 0, 0, 0, 0, 0.000216026, 0, 0, 0, 0, 0, 0.000216023, 0, 0, 0, 0, 0, 0.000216026, 0, 0, 0, 0, 0, 0.000216023, 0, 0, 0, 0, 0, 0.000216026, 0, 0, 0, 0, 0, 0.000216023, 0, 0, 0, 0, 0, 0.000216026, 0, 0, 0, 0, 0, 0.000215394, 0, 0, 0.000216026, 0, 0, 0.0119884, 0.119924, 0.00208907, 0.334385, 0.106332, 0.000866395, 2.87401, 1.02599, 0.272131, 0.0971524, 4.83008, 0.00438909, 0.0998665, 0.100134
12.5, 0, 0, 0, 0.000216014, 0, 0, 0, 0, 0, 0.000216287, 0, 0, 0, 0, 0, 0.0002163, 0, 0, 0, 0, 0, 0.000216303, 0, 0, 0, 0, 0, 0.0002163, 0, 0, 0, 0, 0, 0.000216303, 0, 0, 0, 0, 0, 0.0002163, 0, 0, 0, 0, 0, 0.000216303, 0, 0, 0, 0, 0, 0.0002163, 0, 0, 0, 0, 0, 0.000216303, 0, 0, 0, 0, 0, 0.000215606, 0, 0, 0.000216303, 0, 0, 0.0119885, 0.119924, 0.00212119, 0.334237, 0.106251, 0.000867487, 2.87399, 1.02601, 0.272296, 0.0972151, 4.8299, 0.00439373, 0.0998676, 0.100132
13, 0, 0, 0, 0.000216312, 0, 0, 0, 0, 0, 0.000216586, 0, 0, 0, 0, 0, 0.000216599, 0, 0, 0, 0, 0, 0.000216602, 0, 0, 0, 0, 0, 0.000216599, 0, 0, 0, 0, 0, 0.000216602, 0, 0, 0, 0, 0, 0.000216599, 0, 0, 0, 0, 0, 0.000216602, 0, 0, 0, 0, 0, 0.000216599, 0, 0, 0, 0, 0, 0.000216602, 0, 0, 0, 0, 0, 0.000215839, 0, 0, 0.000216602, 0, 0, 0.0119885, 0.119925, 0.00215252, 0.334087, 0.106173, 0.000868665, 2.87396, 1.02604, 0.272462, 0.0972778, 4.82972, 0.00439839, 0.0998687, 0.100131
13.5, 0, 0, 0, 0.000216631, 0, 0, 0, 0, 0, 0.000216906, 0, 0, 0, 0, 0, 0.000216919, 0, 0, 0, 0, 0, 0.000216922, 0, 0, 0, 0, 0, 0.00021692, 0, 0, 0, 0, 0, 0.000216922, 0, 0, 0, 0, 0, 0.00021692, 0, 0, 0, 0, 0, 0.000216922, 0, 0, 0, 0, 0, 0.000216919, 0, 0, 0, 0, 0, 0.000216922, 0, 0, 0, 0, 0, 0.000216093, 0, 0, 0.000216923, 0, 0, 0.0119886, 0.119925, 0.00218307, 0.333935, 0.106097, 0.000869926, 2.87393, 1.02607, 0.272627, 0.0973404, 4.82954, 0.00440309, 0.09987, 0.10013
14, 0, 0, 0, 0.000216971, 0, 0, 0, 0, 0, 0.000217247, 0, 0, 0, 0, 0, 0.000217259, 0, 0, 0, 0, 0, 0.000217263, 0, 0, 0, 0, 0, 0.00021726, 0, 0, 0, 0, 0, 0.000217263, 0, 0, 0, 0, 0, 0.00021726, 0, 0, 0, 0, 0, 0.000217263, 0, 0, 0, 0, 0, 0.00021726, 0, 0, 0, 0, 0, 0.000217263, 0, 0, 0, 0, 0, 0.000216368, 0, 0, 0.000217264, 0, 0, 0.0119887, 0.119925, 0.00221287, 0.333781, 0.106024, 0.000871268, 2.8739, 1.0261, 0.272792, 0.0974029, 4.82936, 0.00440781, 0.0998713, 0.100129
14.5, 0, 0, 0, 0.00021733, 0, 0, 0, 0, 0, 0.000217608, 0, 0, 0, 0, 0, 0.00021762, 0, 0, 0, 0, 0, 0.000217624, 0, 0, 0, 0, 0, 0.000217621, 0, 0, 0, 0, 0, 0.000217624, 0, 0, 0, 0, 0, 0.000217621, 0, 0, 0, 0, 0, 0.000217624, 0, 0, 0, 0, 0, 0.00021762, 0, 0, 0, 0, 0, 0.000217624, 0, 0, 0, 0, 0, 0.000216664, 0, 0, 0.000217624, 0, 0, 0.0119887, 0.119926, 0.00224193, 0.333626, 0.105952, 0.000872688, 2.87387, 1.02613, 0.272957, 0.0974653, 4.82919, 0.00441255, 0.0998728, 0.100127
15, 0, 0, 0, 0.000217709, 0, 0, 0, 0, 0, 0.000217987, 0, 0, 0, 0, 0, 0.000217999, 0, 0, 0, 0, 0, 0.000218003, 0, 0, 0, 0, 0, 0.000218, 0, 0, 0, 0, 0, 0.000218003, 0, 0, 0, 0, 0, 0.000218, 0, 0, 0, 0, 0, 0.000218003, 0, 0, 0, 0, 0, 0.000218, 0, 0, 0, 0, 0, 0.000218003, 0, 0, 0, 0, 0, 0.00021698, 0, 0, 0.000218004, 0, 0, 0.0119888, 0.119926, 0.00227029, 0.333469, 0.105882, 0.000874183, 2.87385, 1.02615, 0.273121, 0.0975276, 4.82901, 0.00441731, 0.0998743, 0.100126
15.5, 0, 0, 0, 0.000218105, 0, 0, 0, 0, 0, 0.000218385, 0, 0, 0, 0, 0, 0.000218397, 0, 0, 0, 0, 0, 0.000218401, 0, 0, 0, 0, 0, 0.000218398, 0, 0, 0, 0, 0, 0.000218401, 0, 0, 0, 0, 0, 0.000218398, 0, 0, 0, 0, 0, 0.000218401, 0, 0, 0, 0, 0, 0.000218398, 0, 0, 0, 0, 0, 0.000218401, 0, 0, 0, 0, 0, 0.000217316, 0, 0, 0.000218402, 0, 0, 0.0119889, 0.119927, 0.00229795, 0.33331, 0.105814, 0.00087575, 2.87382, 1.02618, 0.273286, 0.0975898, 4.82884, 0.00442209, 0.0998758, 0.100124
16, 0, 0, 0, 0.000218519, 0, 0, 0, 0, 0, 0.000218801, 0, 0, 0, 0, 0, 0.000218812, 0, 0, 0, 0, 0, 0.000218817, 0, 0, 0, 0, 0, 0.000218813, 0, 0, 0, 0, 0, 0.000218817, 0, 0, 0, 0, 0, 0.000218813, 0, 0, 0, 0, 0, 0.000218817, 0, 0, 0, 0, 0, 0.000218813, 0, 0, 0, 0, 0, 0.000218817, 0, 0, 0, 0, 0, 0.000217672, 0, 0, 0.000218817, 0, 0, 0.0119889, 0.119927, 0.00232493, 0.33315, 0.105748, 0.000877386, 2.87379, 1.02621, 0.27345, 0.0976519, 4.82866, 0.00442689, 0.0998775, 0.100123
16.5, 0, 0, 0, 0.000218951, 0, 0, 0, 0, 0, 0.000219233, 0, 0, 0, 0, 0, 0.000219245, 0, 0, 0, 0, 0, 0.00021925, 0, 0, 0, 0, 0, 0.000219246, 0, 0, 0, 0, 0, 0.00021925, 0, 0, 0, 0, 0, 0.000219246, 0, 0, 0, 0, 0, 0.00021925, 0, 0, 0, 0, 0, 0.000219246, 0, 0, 0, 0, 0, 0.00021925, 0, 0, 0, 0, 0, 0.000218046, 0, 0, 0.00021925, 0, 0, 0.011989, 0.119927, 0.00235126, 0.332989, 0.105683, 0.00087909, 2.87376, 1.02624, 0.273614, 0.097714, 4.82849, 0.00443171, 0.0998792, 0.100121
17, 0, 0, 0, 0.000219398, 0, 0, 0, 0, 0, 0.000219682, 0, 0, 0, 0, 0, 0.000219694, 0, 0, 0, 0, 0, 0.000219699, 0, 0, 0, 0, 0, 0.000219695, 0, 0, 0, 0, 0, 0.000219699, 0, 0, 0, 0, 0, 0.000219695, 0, 0, 0, 0, 0, 0.000219699, 0, 0, 0, 0, 0, 0.000219695, 0, 0, 0, 0, 0, 0.000219699, 0, 0, 0, 0, 0, 0.000218439, 0, 0, 0.000219699, 0, 0, 0.011989, 0.119928, 0.00237695, 0.332827, 0.10562, 0.000880859, 2.87374, 1.02626, 0.273778, 0.097776, 4.82832, 0.00443654, 0.0998809, 0.100119
